Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
NEO,2018-11-06,16.2864232047,16.6163566183,16.7600089153,16.1601999134
NEO,2018-11-07,16.8913954258,16.2727490399,16.980638152,16.2642985473
NEO,2018-11-08,16.6697851441,16.8913298837,17.4140581801,16.4922108548
NEO,2018-11-09,16.2051568701,16.6753117531,16.7394149673,16.1563704004
NEO,2018-11-10,15.7855408695,16.2033239455,16.3520033942,15.7220298412
NEO,2018-11-11,15.8825505458,15.7992282277,16.1901586865,15.757988485
NEO,2018-11-12,15.4975726159,15.7990289439,15.8907289877,15.3576557393
NEO,2018-11-13,15.5601018023,15.5035089833,16.0819171185,15.4743634112
NEO,2018-11-14,15.150419122,15.5606529613,15.6177378664,15.0839038195
NEO,2018-11-15,13.0151666879,15.149981281,15.1596108531,11.7983416481
NEO,2018-11-16,12.7134526576,13.013820064,13.3383023042,11.9353889308
NEO,2018-11-17,12.4594945877,12.8625390439,12.9442453648,12.3887979085
NEO,2018-11-18,12.2509545007,12.563801106,12.6426698692,12.2331724151
NEO,2018-11-19,12.3849887825,12.2482153382,12.6031977049,12.2446089259
NEO,2018-11-20,9.9284611062,12.3849887825,12.5278808908,9.8033062112
NEO,2018-11-21,8.5100179911,9.9286416273,10.2570923541,7.8549886154
NEO,2018-11-22,8.9156318917,8.7682407066,9.2878558033,8.3501582983
NEO,2018-11-23,8.6914282129,8.9113620491,9.2445949436,8.4943042811
NEO,2018-11-24,8.545892046,8.6913212702,8.6913629432,7.8302397666
NEO,2018-11-25,7.2242955385,8.5417439797,8.7903203444,7.0985988018
NEO,2018-11-26,7.5455053109,7.3231846141,7.9425194917,6.5280665099
NEO,2018-11-27,7.0155557886,7.5455417568,7.7986419885,6.6842570386
NEO,2018-11-28,7.1533007816,7.0157652369,7.2305623795,6.586110453
NEO,2018-11-29,8.1450252018,7.1532106896,8.6801860673,7.1163721593
NEO,2018-11-30,8.2791471759,8.1356436285,8.8429757012,7.9167573033
NEO,2018-12-01,7.5694481954,8.3794682197,8.4772556618,7.4091024291
NEO,2018-12-02,8.1128416735,7.5702432356,8.285664447,7.4173868922
NEO,2018-12-03,7.8615282953,8.1128410279,8.3647865322,7.762444338
NEO,2018-12-04,7.2889610393,7.8611283644,7.9248734846,7.1049694927
NEO,2018-12-05,7.4843958201,7.2890570683,7.8916638079,6.9813696341
NEO,2018-12-06,6.9360449443,7.484438134,7.5578538634,6.902054279
NEO,2018-12-07,6.3250166601,6.9019740036,7.188630053,6.3090062234
NEO,2018-12-08,6.0986530925,6.3250425766,6.4044710939,5.37267719
NEO,2018-12-09,6.0847013932,6.0995864808,6.5184333903,5.5979523451
NEO,2018-12-10,6.2790124469,6.0760591173,6.8807773668,5.9299521078
NEO,2018-12-11,6.0747172326,6.3208417019,6.4010443565,5.887691592
NEO,2018-12-12,5.7859537251,6.0116664894,6.1262429519,5.6385005052
NEO,2018-12-13,5.9322242126,5.7859655025,6.2470870711,5.7052200656
NEO,2018-12-14,5.6446953306,5.9695160852,5.9771598034,5.54489088
NEO,2018-12-15,5.6064757103,5.6443130295,5.6760309233,5.4119950176
NEO,2018-12-16,5.5778313176,5.6070438784,5.6250739511,5.3924058356
NEO,2018-12-17,5.6603225183,5.542924109,5.933205189,5.538392773
NEO,2018-12-18,6.4277153815,5.6244898338,6.6353827828,5.6107026866
NEO,2018-12-19,6.4970161466,6.4276547004,6.5822924605,6.2376735618
NEO,2018-12-20,6.6820760552,6.7733984681,7.3049872529,6.5372944766
NEO,2018-12-21,7.2077461808,6.6823103183,7.4229347657,6.5231574843
NEO,2018-12-22,6.7426077045,7.2079502122,7.4562749712,6.5848794828
NEO,2018-12-23,6.8873189226,6.8418354791,7.0161653994,6.6734162485
NEO,2018-12-24,7.6204634254,6.8873194538,8.0360459299,6.8866460658
NEO,2018-12-25,8.4559311415,7.6092037051,9.109173162,7.6059817355
NEO,2018-12-26,7.5463424372,8.3800856088,8.4216758041,7.1032800135
NEO,2018-12-27,7.8213553071,7.546801397,8.0404123586,7.2235625996
NEO,2018-12-28,6.8498669688,7.7878895968,7.8195805467,6.7660346511
NEO,2018-12-29,7.7743833477,6.8476194504,8.1299999744,6.7533191646
