Currency,Date,Closing Price (USD)
BTC,21/10/2015,270.49541
ETH,21/10/2015,0.490282
BTC,22/10/2015,267.46908
ETH,22/10/2015,0.428394
BTC,23/10/2015,274.25325
ETH,23/10/2015,0.561577
BTC,24/10/2015,279.97908
ETH,24/10/2015,0.543105
BTC,25/10/2015,286.86941
ETH,25/10/2015,0.555001
BTC,26/10/2015,284.286
ETH,26/10/2015,0.626306
BTC,27/10/2015,287.83091
ETH,27/10/2015,0.810927
BTC,28/10/2015,300.53566
ETH,28/10/2015,0.847653
BTC,29/10/2015,304.32691
ETH,29/10/2015,0.96149
BTC,30/10/2015,326.55691
ETH,30/10/2015,1.25408
BTC,31/10/2015,327.58425
ETH,31/10/2015,0.9483
BTC,01/11/2015,311.70274
ETH,01/11/2015,0.913563
BTC,02/11/2015,325.64666
ETH,02/11/2015,1.068958
BTC,03/11/2015,369.51133
ETH,03/11/2015,0.964695
BTC,04/11/2015,432.46133
ETH,04/11/2015,1.018074
BTC,05/11/2015,434.31683
ETH,05/11/2015,0.926706
BTC,06/11/2015,359.586
ETH,06/11/2015,0.878713
BTC,07/11/2015,377.64099
ETH,07/11/2015,0.916739
BTC,08/11/2015,387.775
ETH,08/11/2015,0.933398
BTC,09/11/2015,370.652
ETH,09/11/2015,1.080845
BTC,10/11/2015,376.948
ETH,10/11/2015,0.989914
BTC,11/11/2015,311.702
ETH,11/11/2015,0.854742
BTC,12/11/2015,320.036
ETH,12/11/2015,0.784963
BTC,13/11/2015,337.893
ETH,13/11/2015,0.898162
BTC,14/11/2015,334.125
ETH,14/11/2015,0.904045
BTC,15/11/2015,333.951
ETH,15/11/2015,0.89712
BTC,16/11/2015,320.06
ETH,16/11/2015,0.938097
BTC,17/11/2015,337.759
ETH,17/11/2015,0.917747
BTC,18/11/2015,333.33299
ETH,18/11/2015,0.970144
BTC,19/11/2015,334.02499
ETH,19/11/2015,0.991469
BTC,20/11/2015,315.63099
ETH,20/11/2015,0.93856
BTC,21/11/2015,321.482
ETH,21/11/2015,0.934916
BTC,22/11/2015,326.365
ETH,22/11/2015,0.976503
BTC,23/11/2015,322.606
ETH,23/11/2015,0.987436
BTC,24/11/2015,320.993
ETH,24/11/2015,0.943054
BTC,25/11/2015,318.337
ETH,25/11/2015,0.894563
BTC,26/11/2015,332.471
ETH,26/11/2015,0.85455
BTC,27/11/2015,349.138
ETH,27/11/2015,0.895359
BTC,28/11/2015,354.954
ETH,28/11/2015,0.889247
BTC,29/11/2015,356.806
ETH,29/11/2015,0.919118
BTC,30/11/2015,375.204
ETH,30/11/2015,0.862868
BTC,01/12/2015,377.798
ETH,01/12/2015,0.864777
BTC,02/12/2015,352.128
ETH,02/12/2015,0.84846
BTC,03/12/2015,366.788
ETH,03/12/2015,0.818644
BTC,04/12/2015,358.443
ETH,04/12/2015,0.831416
BTC,05/12/2015,369.956
ETH,05/12/2015,0.834368
BTC,06/12/2015,394.861
ETH,06/12/2015,0.862831
BTC,07/12/2015,391.618
ETH,07/12/2015,0.840918
BTC,08/12/2015,395.59299
ETH,08/12/2015,0.793856
BTC,09/12/2015,421.424
ETH,09/12/2015,0.802668
BTC,10/12/2015,415.076
ETH,10/12/2015,0.7904
BTC,11/12/2015,421.813
ETH,11/12/2015,0.831718
BTC,12/12/2015,467.831
ETH,12/12/2015,0.957485
BTC,13/12/2015,435.091
ETH,13/12/2015,0.970127
BTC,14/12/2015,437.021
ETH,14/12/2015,0.983037
BTC,15/12/2015,453.676
ETH,15/12/2015,0.992982
BTC,16/12/2015,445.805
ETH,16/12/2015,0.976204
BTC,17/12/2015,451.102
ETH,17/12/2015,0.980235
BTC,18/12/2015,456.425
ETH,18/12/2015,0.909203
BTC,19/12/2015,464.218
ETH,19/12/2015,0.902221
BTC,20/12/2015,460.238
ETH,20/12/2015,0.906143
BTC,21/12/2015,435.64099
ETH,21/12/2015,0.909542
BTC,22/12/2015,438.276
ETH,22/12/2015,0.891691
BTC,23/12/2015,437.994
ETH,23/12/2015,0.860184
BTC,24/12/2015,456.572
ETH,24/12/2015,0.85239
BTC,25/12/2015,455.743
ETH,25/12/2015,0.859723
BTC,26/12/2015,447.606
ETH,26/12/2015,0.85956
BTC,27/12/2015,419.338
ETH,27/12/2015,0.872795
BTC,28/12/2015,427.817
ETH,28/12/2015,0.87006
BTC,29/12/2015,422.741
ETH,29/12/2015,0.845619
BTC,30/12/2015,431.029
ETH,30/12/2015,0.875728
BTC,31/12/2015,424.962
ETH,31/12/2015,0.959113
BTC,01/01/2016,432.358
ETH,01/01/2016,0.939963
BTC,02/01/2016,433.773
ETH,02/01/2016,0.954338
BTC,03/01/2016,431.985
ETH,03/01/2016,0.946475
BTC,04/01/2016,431.691
ETH,04/01/2016,0.964273
BTC,05/01/2016,433.732
ETH,05/01/2016,0.9592
BTC,06/01/2016,427.164
ETH,06/01/2016,0.945187
BTC,07/01/2016,441.021
ETH,07/01/2016,0.954133
BTC,08/01/2016,457.168
ETH,08/01/2016,0.971532
BTC,09/01/2016,452.368
ETH,09/01/2016,0.973215
BTC,10/01/2016,445.327
ETH,10/01/2016,0.976544
BTC,11/01/2016,450.312
ETH,11/01/2016,1.054485
BTC,12/01/2016,446.614
ETH,12/01/2016,1.066742
BTC,13/01/2016,431.156
ETH,13/01/2016,1.123385
BTC,14/01/2016,431.41
ETH,14/01/2016,1.137388
BTC,15/01/2016,416.29
ETH,15/01/2016,1.214603
BTC,16/01/2016,372.737
ETH,16/01/2016,1.218812
BTC,17/01/2016,383.138
ETH,17/01/2016,1.22759
BTC,18/01/2016,380.817
ETH,18/01/2016,1.404201
BTC,19/01/2016,382.738
ETH,19/01/2016,1.414796
BTC,20/01/2016,378.775
ETH,20/01/2016,1.381008
BTC,21/01/2016,417.439
ETH,21/01/2016,1.570498
BTC,22/01/2016,403.271
ETH,22/01/2016,1.507437
BTC,23/01/2016,388.219
ETH,23/01/2016,1.629212
BTC,24/01/2016,388.538
ETH,24/01/2016,2.198391
BTC,25/01/2016,397.885
ETH,25/01/2016,2.191263
BTC,26/01/2016,390.715
ETH,26/01/2016,2.671689
BTC,27/01/2016,392.389
ETH,27/01/2016,2.463335
BTC,28/01/2016,381.356
ETH,28/01/2016,2.363919
BTC,29/01/2016,369.133
ETH,29/01/2016,2.54387
BTC,30/01/2016,376.952
ETH,30/01/2016,2.540141
BTC,31/01/2016,378.174
ETH,31/01/2016,2.476824
BTC,01/02/2016,372.157
ETH,01/02/2016,2.19333
BTC,02/02/2016,372.453
ETH,02/02/2016,2.144291
BTC,03/02/2016,372.762
ETH,03/02/2016,2.35222
BTC,04/02/2016,370.433
ETH,04/02/2016,2.449304
BTC,05/02/2016,386.954
ETH,05/02/2016,2.54249
BTC,06/02/2016,377.889
ETH,06/02/2016,2.524713
BTC,07/02/2016,376.44
ETH,07/02/2016,2.568608
BTC,08/02/2016,376.924
ETH,08/02/2016,2.965984
BTC,09/02/2016,372.434
ETH,09/02/2016,3.171354
BTC,10/02/2016,374.764
ETH,10/02/2016,4.274951
BTC,11/02/2016,379.186
ETH,11/02/2016,4.471621
BTC,12/02/2016,378.576
ETH,12/02/2016,6.552829
BTC,13/02/2016,388.87
ETH,13/02/2016,5.329095
BTC,14/02/2016,397.23
ETH,14/02/2016,4.767885
BTC,15/02/2016,405.621
ETH,15/02/2016,5.741672
BTC,16/02/2016,401.663
ETH,16/02/2016,5.323951
BTC,17/02/2016,407.017
ETH,17/02/2016,4.399924
BTC,18/02/2016,417.492
ETH,18/02/2016,3.635079
BTC,19/02/2016,421.956
ETH,19/02/2016,4.73599
BTC,20/02/2016,422.054
ETH,20/02/2016,4.471239
BTC,21/02/2016,439.61
ETH,21/02/2016,4.243621
BTC,22/02/2016,436.14
ETH,22/02/2016,5.100212
BTC,23/02/2016,438.745
ETH,23/02/2016,5.772068
BTC,24/02/2016,419.896
ETH,24/02/2016,5.544
BTC,25/02/2016,422.617
ETH,25/02/2016,6.141016
BTC,26/02/2016,421.244
ETH,26/02/2016,5.893572
BTC,27/02/2016,433.401
ETH,27/02/2016,6.026489
BTC,28/02/2016,425.502
ETH,28/02/2016,6.343376
BTC,29/02/2016,438.28
ETH,29/02/2016,6.558609
BTC,01/03/2016,436.426
ETH,01/03/2016,6.414685
BTC,02/03/2016,434.001
ETH,02/03/2016,7.552274
BTC,03/03/2016,419.254
ETH,03/03/2016,8.512542
BTC,04/03/2016,421.597
ETH,04/03/2016,8.569114
BTC,05/03/2016,407.722
ETH,05/03/2016,10.161934
BTC,06/03/2016,397.883
ETH,06/03/2016,11.30321
BTC,07/03/2016,407.276
ETH,07/03/2016,10.786501
BTC,08/03/2016,414.213
ETH,08/03/2016,8.773093
BTC,09/03/2016,410.739
ETH,09/03/2016,10.288869
BTC,10/03/2016,411.672
ETH,10/03/2016,12.111201
BTC,11/03/2016,416.708
ETH,11/03/2016,10.831474
BTC,12/03/2016,415.04
ETH,12/03/2016,12.772452
BTC,13/03/2016,411.637
ETH,13/03/2016,14.080665
BTC,14/03/2016,414.208
ETH,14/03/2016,12.828765
BTC,15/03/2016,416.034
ETH,15/03/2016,12.03913
BTC,16/03/2016,414.167
ETH,16/03/2016,13.150548
BTC,17/03/2016,417.138
ETH,17/03/2016,12.405536
BTC,18/03/2016,417.154
ETH,18/03/2016,11.021445
BTC,19/03/2016,407.473
ETH,19/03/2016,10.611342
BTC,20/03/2016,409.24
ETH,20/03/2016,10.694646
BTC,21/03/2016,407.496
ETH,21/03/2016,10.68432
BTC,22/03/2016,415.125
ETH,22/03/2016,11.548473
BTC,23/03/2016,417.318
ETH,23/03/2016,11.535684
BTC,24/03/2016,415.837
ETH,24/03/2016,11.88883
BTC,25/03/2016,414.75699
ETH,25/03/2016,10.717539
BTC,26/03/2016,416.851
ETH,26/03/2016,10.95367
BTC,27/03/2016,416.233
ETH,27/03/2016,10.798301
BTC,28/03/2016,424.297
ETH,28/03/2016,11.298643
BTC,29/03/2016,423.597
ETH,29/03/2016,11.361113
BTC,30/03/2016,414.613
ETH,30/03/2016,11.620024
BTC,31/03/2016,414.458
ETH,31/03/2016,11.906417
BTC,01/04/2016,416.012
ETH,01/04/2016,11.657835
BTC,02/04/2016,418.785
ETH,02/04/2016,11.465972
BTC,03/04/2016,418.93999
ETH,03/04/2016,11.537668
BTC,04/04/2016,418.593
ETH,04/04/2016,11.638093
BTC,05/04/2016,422.044
ETH,05/04/2016,10.865302
BTC,06/04/2016,422.29499
ETH,06/04/2016,10.45508
BTC,07/04/2016,420.553
ETH,07/04/2016,10.660057
BTC,08/04/2016,421.616
ETH,08/04/2016,10.264577
BTC,09/04/2016,415.751
ETH,09/04/2016,9.960003
BTC,10/04/2016,418.078
ETH,10/04/2016,9.03829
BTC,11/04/2016,421.192
ETH,11/04/2016,8.809607
BTC,12/04/2016,426.383
ETH,12/04/2016,8.088833
BTC,13/04/2016,426.84399
ETH,13/04/2016,7.098819
BTC,14/04/2016,425.494
ETH,14/04/2016,8.365123
BTC,15/04/2016,426.279
ETH,15/04/2016,8.35775
BTC,16/04/2016,429.775
ETH,16/04/2016,8.246231
BTC,17/04/2016,430.453
ETH,17/04/2016,9.132143
BTC,18/04/2016,429.318
ETH,18/04/2016,9.279722
BTC,19/04/2016,428.522
ETH,19/04/2016,9.096884
BTC,20/04/2016,435.926
ETH,20/04/2016,8.596728
BTC,21/04/2016,443.758
ETH,21/04/2016,8.483955
BTC,22/04/2016,446.776
ETH,22/04/2016,8.262633
BTC,23/04/2016,447.233
ETH,23/04/2016,7.88495
BTC,24/04/2016,455.152
ETH,24/04/2016,8.475849
BTC,25/04/2016,458.626
ETH,25/04/2016,8.061256
BTC,26/04/2016,464.429
ETH,26/04/2016,7.46844
BTC,27/04/2016,466.064
ETH,27/04/2016,7.444989
BTC,28/04/2016,441.304
ETH,28/04/2016,7.54001
BTC,29/04/2016,446.236
ETH,29/04/2016,7.462268
BTC,30/04/2016,454.375
ETH,30/04/2016,7.646307
BTC,01/05/2016,449.108
ETH,01/05/2016,8.684684
BTC,02/05/2016,453.067
ETH,02/05/2016,9.069084
BTC,03/05/2016,443.681
ETH,03/05/2016,9.818807
BTC,04/05/2016,449.157
ETH,04/05/2016,9.48813
BTC,05/05/2016,447.73999
ETH,05/05/2016,9.4005
BTC,06/05/2016,447.58599
ETH,06/05/2016,9.920161
BTC,07/05/2016,458.864
ETH,07/05/2016,9.320362
BTC,08/05/2016,459.937
ETH,08/05/2016,9.248766
BTC,09/05/2016,458.708
ETH,09/05/2016,9.398316
BTC,10/05/2016,460.954
ETH,10/05/2016,9.409434
BTC,11/05/2016,454.39399
ETH,11/05/2016,9.482134
BTC,12/05/2016,451.155
ETH,12/05/2016,9.872727
BTC,13/05/2016,453.701
ETH,13/05/2016,10.386921
BTC,14/05/2016,456.039
ETH,14/05/2016,10.283427
BTC,15/05/2016,456.093
ETH,15/05/2016,10.418331
BTC,16/05/2016,457.64099
ETH,16/05/2016,10.221577
BTC,17/05/2016,454.278
ETH,17/05/2016,11.300386
BTC,18/05/2016,454.064
ETH,18/05/2016,12.671507
BTC,19/05/2016,453.494
ETH,19/05/2016,13.309152
BTC,20/05/2016,440.231
ETH,20/05/2016,14.566127
BTC,21/05/2016,442.953
ETH,21/05/2016,13.095667
BTC,22/05/2016,442.892
ETH,22/05/2016,13.721357
BTC,23/05/2016,440.551
ETH,23/05/2016,14.153041
BTC,24/05/2016,444.489
ETH,24/05/2016,13.415642
BTC,25/05/2016,447.035
ETH,25/05/2016,12.531584
BTC,26/05/2016,448.278
ETH,26/05/2016,12.8516
BTC,27/05/2016,467.262
ETH,27/05/2016,11.297005
BTC,28/05/2016,489.847
ETH,28/05/2016,10.602814
BTC,29/05/2016,516.051
ETH,29/05/2016,11.973384
BTC,30/05/2016,529.917
ETH,30/05/2016,12.302019
BTC,31/05/2016,537.23299
ETH,31/05/2016,12.696851
BTC,01/06/2016,528.04999
ETH,01/06/2016,13.89002
BTC,02/06/2016,538.568
ETH,02/06/2016,13.630606
BTC,03/06/2016,537.185
ETH,03/06/2016,13.826359
BTC,04/06/2016,571.139
ETH,04/06/2016,13.619672
BTC,05/06/2016,579.343
ETH,05/06/2016,13.637499
BTC,06/06/2016,578.84899
ETH,06/06/2016,13.753011
BTC,07/06/2016,585.399
ETH,07/06/2016,13.943334
BTC,08/06/2016,576.226
ETH,08/06/2016,14.655687
BTC,09/06/2016,580.43599
ETH,09/06/2016,14.466797
BTC,10/06/2016,574.953
ETH,10/06/2016,14.200965
BTC,11/06/2016,583.87
ETH,11/06/2016,13.8645
BTC,12/06/2016,633.205
ETH,12/06/2016,14.301974
BTC,13/06/2016,682.226
ETH,13/06/2016,15.441725
BTC,14/06/2016,695.155
ETH,14/06/2016,17.99626
BTC,15/06/2016,685.442
ETH,15/06/2016,18.396721
BTC,16/06/2016,732.357
ETH,16/06/2016,18.661962
BTC,17/06/2016,773.25
ETH,17/06/2016,21.2794
BTC,18/06/2016,736.386
ETH,18/06/2016,14.262145
BTC,19/06/2016,747.831
ETH,19/06/2016,12.721143
BTC,20/06/2016,758.903
ETH,20/06/2016,12.250261
BTC,21/06/2016,702.696
ETH,21/06/2016,11.174118
BTC,22/06/2016,657.013
ETH,22/06/2016,14.95764
BTC,23/06/2016,581.249
ETH,23/06/2016,13.107161
BTC,24/06/2016,657.08999
ETH,24/06/2016,13.665296
BTC,25/06/2016,687.168
ETH,25/06/2016,14.569529
BTC,26/06/2016,657.22399
ETH,26/06/2016,14.209372
BTC,27/06/2016,644.091
ETH,27/06/2016,13.931138
BTC,28/06/2016,655.94399
ETH,28/06/2016,13.886
BTC,29/06/2016,634.357
ETH,29/06/2016,11.915406
BTC,30/06/2016,635.093
ETH,30/06/2016,12.494312
BTC,01/07/2016,683.293
ETH,01/07/2016,12.374262
BTC,02/07/2016,678.567
ETH,02/07/2016,12.179126
BTC,03/07/2016,690.179
ETH,03/07/2016,12.086667
BTC,04/07/2016,670.741
ETH,04/07/2016,11.78207
BTC,05/07/2016,679.351
ETH,05/07/2016,11.359705
BTC,06/07/2016,676.872
ETH,06/07/2016,10.326753
BTC,07/07/2016,671.814
ETH,07/07/2016,10.13188
BTC,08/07/2016,640.476
ETH,08/07/2016,10.048061
BTC,09/07/2016,654.85299
ETH,09/07/2016,10.901109
BTC,10/07/2016,649.356
ETH,10/07/2016,10.823896
BTC,11/07/2016,656.747
ETH,11/07/2016,11.047635
BTC,12/07/2016,648.136
ETH,12/07/2016,10.457758
BTC,13/07/2016,663.443
ETH,13/07/2016,10.515661
BTC,14/07/2016,654.018
ETH,14/07/2016,10.881305
BTC,15/07/2016,663.638
ETH,15/07/2016,11.885718
BTC,16/07/2016,666.56499
ETH,16/07/2016,11.951451
BTC,17/07/2016,665.113
ETH,17/07/2016,11.561825
BTC,18/07/2016,681.239
ETH,18/07/2016,11.411313
BTC,19/07/2016,673.832
ETH,19/07/2016,11.139944
BTC,20/07/2016,673.008
ETH,20/07/2016,11.735039
BTC,21/07/2016,662.034
ETH,21/07/2016,12.376475
BTC,22/07/2016,666.747
ETH,22/07/2016,12.553567
BTC,23/07/2016,654.725
ETH,23/07/2016,14.502578
BTC,24/07/2016,654.895
ETH,24/07/2016,14.190763
BTC,25/07/2016,660.284
ETH,25/07/2016,13.385314
BTC,26/07/2016,655.418
ETH,26/07/2016,13.618806
BTC,27/07/2016,650.82899
ETH,27/07/2016,12.393433
BTC,28/07/2016,656.91599
ETH,28/07/2016,12.844266
BTC,29/07/2016,655.427
ETH,29/07/2016,12.73773
BTC,30/07/2016,656.681
ETH,30/07/2016,12.733222
BTC,31/07/2016,635.588
ETH,31/07/2016,12.377607
BTC,01/08/2016,621.37299
ETH,01/08/2016,11.78049
BTC,02/08/2016,601.227
ETH,02/08/2016,10.646814
BTC,03/08/2016,555.926
ETH,03/08/2016,9.429077
BTC,04/08/2016,578.52374
ETH,04/08/2016,10.563403
BTC,05/08/2016,570.33875
ETH,05/08/2016,10.900653
BTC,06/08/2016,574.87375
ETH,06/08/2016,10.793019
BTC,07/08/2016,588.51625
ETH,07/08/2016,10.904812
BTC,08/08/2016,589.66125
ETH,08/08/2016,11.134518
BTC,09/08/2016,586.715
ETH,09/08/2016,11.367989
BTC,10/08/2016,585.23875
ETH,10/08/2016,12.579432
BTC,11/08/2016,594.81625
ETH,11/08/2016,12.098701
BTC,12/08/2016,581.9625
ETH,12/08/2016,11.651671
BTC,13/08/2016,584.87375
ETH,13/08/2016,11.759793
BTC,14/08/2016,581.65
ETH,14/08/2016,11.533494
BTC,15/08/2016,571.9625
ETH,15/08/2016,11.250161
BTC,16/08/2016,567.60749
ETH,16/08/2016,11.082952
BTC,17/08/2016,575.54125
ETH,17/08/2016,11.021117
BTC,18/08/2016,572.37249
ETH,18/08/2016,10.836692
BTC,19/08/2016,573.01625
ETH,19/08/2016,10.723738
BTC,20/08/2016,573.08
ETH,20/08/2016,10.974623
BTC,21/08/2016,581.35375
ETH,21/08/2016,11.117599
BTC,22/08/2016,579.6675
ETH,22/08/2016,11.168643
BTC,23/08/2016,585.5075
ETH,23/08/2016,11.244944
BTC,24/08/2016,577.98749
ETH,24/08/2016,11.101393
BTC,25/08/2016,574.5825
ETH,25/08/2016,11.11745
BTC,26/08/2016,575.0625
ETH,26/08/2016,11.427117
BTC,27/08/2016,575.3425
ETH,27/08/2016,11.191805
BTC,28/08/2016,568.78875
ETH,28/08/2016,11.077814
BTC,29/08/2016,574.49749
ETH,29/08/2016,10.836503
BTC,30/08/2016,571.94125
ETH,30/08/2016,11.053865
BTC,31/08/2016,573.78125
ETH,31/08/2016,11.218456
BTC,01/09/2016,572.96
ETH,01/09/2016,12.080199
BTC,02/09/2016,570.1
ETH,02/09/2016,12.086755
BTC,03/09/2016,572.52125
ETH,03/09/2016,12.334285
BTC,04/09/2016,596.45375
ETH,04/09/2016,11.722517
BTC,05/09/2016,606.0525
ETH,05/09/2016,11.809063
BTC,06/09/2016,604.465
ETH,06/09/2016,11.685958
BTC,07/09/2016,609.4325
ETH,07/09/2016,11.705249
BTC,08/09/2016,613.67499
ETH,08/09/2016,11.612994
BTC,09/09/2016,623.6
ETH,09/09/2016,11.567017
BTC,10/09/2016,620.59875
ETH,10/09/2016,11.76883
BTC,11/09/2016,622.03375
ETH,11/09/2016,12.171771
BTC,12/09/2016,604.8275
ETH,12/09/2016,11.779397
BTC,13/09/2016,607.03625
ETH,13/09/2016,12.017102
BTC,14/09/2016,606.885
ETH,14/09/2016,12.034831
BTC,15/09/2016,606.8975
ETH,15/09/2016,12.137046
BTC,16/09/2016,605.52125
ETH,16/09/2016,11.981109
BTC,17/09/2016,606.04625
ETH,17/09/2016,12.523064
BTC,18/09/2016,605.08
ETH,18/09/2016,12.739668
BTC,19/09/2016,609.37249
ETH,19/09/2016,12.820767
BTC,20/09/2016,606.7175
ETH,20/09/2016,13.433515
BTC,21/09/2016,595.93375
ETH,21/09/2016,14.243642
BTC,22/09/2016,596.225
ETH,22/09/2016,13.41168
BTC,23/09/2016,595.0175
ETH,23/09/2016,13.143369
BTC,24/09/2016,602.4075
ETH,24/09/2016,13.198914
BTC,25/09/2016,601.36875
ETH,25/09/2016,13.069967
BTC,26/09/2016,598.9075
ETH,26/09/2016,12.8951
BTC,27/09/2016,605.0175
ETH,27/09/2016,12.95477
BTC,28/09/2016,602.885
ETH,28/09/2016,13.43472
BTC,29/09/2016,603.58124
ETH,29/09/2016,13.261939
BTC,30/09/2016,604.52125
ETH,30/09/2016,13.042521
BTC,01/10/2016,610.58375
ETH,01/10/2016,13.166937
BTC,02/10/2016,613.23749
ETH,02/10/2016,13.164201
BTC,03/10/2016,611.88874
ETH,03/10/2016,13.168065
BTC,04/10/2016,609.495
ETH,04/10/2016,13.456315
BTC,05/10/2016,608.125
ETH,05/10/2016,13.278997
BTC,06/10/2016,610.57
ETH,06/10/2016,13.095678
BTC,07/10/2016,610.23375
ETH,07/10/2016,12.947742
BTC,08/10/2016,617.445
ETH,08/10/2016,12.641213
BTC,09/10/2016,614.59625
ETH,09/10/2016,12.254665
BTC,10/10/2016,615.91625
ETH,10/10/2016,11.951233
BTC,11/10/2016,618.3275
ETH,11/10/2016,12.135368
BTC,12/10/2016,637.21624
ETH,12/10/2016,11.74605
BTC,13/10/2016,637.73625
ETH,13/10/2016,11.74605
BTC,14/10/2016,635.88375
ETH,14/10/2016,11.74605
BTC,15/10/2016,638.975
ETH,15/10/2016,11.74605
BTC,16/10/2016,638.605
ETH,16/10/2016,11.74605
BTC,17/10/2016,636.635
ETH,17/10/2016,11.74605
BTC,18/10/2016,637.01625
ETH,18/10/2016,11.74605
BTC,19/10/2016,634.605
ETH,19/10/2016,11.74605
BTC,20/10/2016,626.36875
ETH,20/10/2016,11.74605
BTC,21/10/2016,629.61249
ETH,21/10/2016,11.74605
BTC,22/10/2016,630.61875
ETH,22/10/2016,11.74605
BTC,23/10/2016,650.895
ETH,23/10/2016,11.74605
BTC,24/10/2016,647.69375
ETH,24/10/2016,11.74605
BTC,25/10/2016,652.235
ETH,25/10/2016,11.7933
BTC,26/10/2016,657.05625
