Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
LSK,2019-03-18,1.5382408206,1.5207367075,1.636047503,1.4696288376
LSK,2019-03-19,1.4920854387,1.5381986411,1.5502537918,1.481741018
LSK,2019-03-20,1.4931269485,1.4890240861,1.5069584871,1.471139908
LSK,2019-03-21,1.5399921191,1.4931755193,1.5412864762,1.4893900757
LSK,2019-03-22,1.4840762887,1.5386924501,1.5589836301,1.437891384
LSK,2019-03-23,1.490650835,1.4839691512,1.5067224642,1.4602858919
LSK,2019-03-24,1.5062012451,1.4832333959,1.511649359,1.4825252119
LSK,2019-03-25,1.5242357037,1.5062012451,1.547178408,1.4942291664
LSK,2019-03-26,1.4972107488,1.5242358331,1.5429762817,1.4702441057
LSK,2019-03-27,1.5089854125,1.4972452889,1.5108342818,1.477866808
LSK,2019-03-28,1.6468243423,1.500654621,1.6584628083,1.4908312177
LSK,2019-03-29,1.6238618962,1.6468243423,1.658449648,1.6054125216
LSK,2019-03-30,1.6888727458,1.6238618962,1.6985131715,1.6223579085
LSK,2019-03-31,1.7505721713,1.6869238688,1.7659733659,1.6528983552
LSK,2019-04-01,1.7461596042,1.7505721713,1.7702374082,1.7206089175
LSK,2019-04-02,1.7550072989,1.7461596042,1.7712638299,1.7226952847
LSK,2019-04-03,1.9042334797,1.7550072989,1.9149849866,1.7292677128
LSK,2019-04-04,2.0907626484,1.9042334797,2.2227859173,1.9023609394
LSK,2019-04-05,2.1068528029,2.0618800677,2.3563906314,2.039604766
LSK,2019-04-06,2.1963643753,2.1072711596,2.233614939,2.1071950855
LSK,2019-04-07,2.1032927354,2.1964184263,2.1964184263,2.0600035557
LSK,2019-04-08,2.1475798172,2.1032927354,2.2215862179,2.0931675135
LSK,2019-04-09,2.0911372873,2.1475798172,2.2106268952,2.0193700396
LSK,2019-04-10,2.0263027002,2.0907050122,2.1041467291,1.9642167206
LSK,2019-04-11,2.0437663555,2.0263035646,2.1105176213,2.0030137055
